platform,followers_count,following_count,posts_count,account_age_days,has_profile_pic,bio_length,verified,engagement_rate,avg_posts_per_day,follower_following_ratio,is_fraud
Instagram,3747439,3995,4829,3319,1,96,0,0.2677,1.455,937.8,0
Instagram,4142857,2664,1950,2640,1,35,0,0.0497,0.739,1554.54,0
Instagram,4683924,2090,8283,4942,0,167,0,0.218,1.676,2240.04,1
Instagram,3602329,1557,3093,1974,1,29,0,0.1341,1.567,2312.15,0
Instagram,2121740,871,5311,3175,1,281,0,0.2264,1.673,2433.19,0
Instagram,2991700,164,1387,2788,1,84,0,0.2145,0.497,18131.52,0
Instagram,491284,3504,4274,3290,1,120,0,0.009,1.299,140.17,1
Instagram,1948310,914,2285,4137,1,286,0,0.0544,0.552,2129.3,0
Instagram,4333536,1279,3206,1925,1,247,0,0.1418,1.665,3385.58,0
Instagram,1521151,414,2924,2530,1,183,0,0.2801,1.156,3665.42,0
Instagram,4378418,853,7045,2859,1,252,0,0.1033,2.464,5126.95,0
Instagram,4408374,1792,8471,3903,1,272,1,0.189,2.17,2458.66,0
Instagram,3136779,1574,1618,77,1,208,0,0.0046,21.013,1991.61,1
Instagram,897471,1194,8562,2394,0,23,0,0.2136,3.576,751.02,1
Instagram,122459,756,5896,2286,0,121,0,0.1813,2.579,161.77,1
Instagram,2016766,1735,7843,4702,1,224,0,0.2149,1.668,1161.73,0
Instagram,2350820,3198,9895,783,1,122,0,0.2715,12.637,734.86,0
Instagram,769648,280,7063,2832,1,293,0,0.0448,2.494,2738.96,0
Instagram,3267874,4875,8495,4679,1,172,0,0.0792,1.816,670.2,0
Instagram,3331118,3966,1348,3682,1,142,0,0.2987,0.366,839.71,0
Instagram,3256465,181,5556,432,1,168,0,0.0477,12.861,17892.66,0
Instagram,874421,283,5289,2116,1,56,0,0.2165,2.5,3078.95,0
Instagram,2832918,2316,2422,2257,1,41,0,0.2178,1.073,1222.67,0
Instagram,3873048,1168,3628,3440,1,118,0,0.2052,1.055,3313.13,0
Instagram,973598,1716,2428,3020,0,120,0,0.069,0.804,567.03,1
Instagram,3344064,1781,3033,4673,1,250,0,0.0653,0.649,1876.58,0
Instagram,1213525,431,6157,1179,1,181,0,0.2002,5.222,2809.09,0
Instagram,3470545,1219,8860,92,1,164,0,0.0567,96.304,2844.71,0
Instagram,2959084,4685,8691,4969,1,263,0,0.1988,1.749,631.47,0
Instagram,4574343,900,7813,3183,0,209,0,0.1483,2.455,5076.96,1
Instagram,43635,4827,1414,1038,1,10,0,0.1166,1.362,9.04,0
Instagram,3057263,3277,6708,2061,1,181,0,0.0908,3.255,932.66,0
Instagram,2539498,4986,8721,1352,1,250,0,0.2843,6.45,509.22,0
Instagram,109606,1483,6635,2111,1,137,0,0.1529,3.143,73.86,0
Instagram,1575607,3253,3621,781,1,217,0,0.1688,4.636,484.21,0
Instagram,4027469,4488,5315,4174,1,238,0,0.2848,1.273,897.19,0
Instagram,4394589,2191,754,687,1,86,0,0.1965,1.098,2004.83,0
Instagram,2123141,1459,2347,1690,1,297,0,0.2874,1.389,1454.21,0
Instagram,2009071,3106,726,730,1,292,0,0.0328,0.995,646.63,0
Instagram,1201532,3266,4923,1110,1,91,0,0.2541,4.435,367.78,0
Instagram,542385,3166,2649,2186,1,207,0,0.1013,1.212,171.26,0
Instagram,3434027,1600,2815,1570,1,203,0,0.2433,1.793,2144.93,0
Instagram,4270120,4249,9066,3062,1,185,0,0.2568,2.961,1004.73,0
Instagram,3560970,3991,3279,2013,1,84,0,0.0822,1.629,892.03,0
Instagram,2484463,1445,2984,344,0,151,0,0.1232,8.674,1718.16,1
Instagram,2907410,233,3807,3111,0,155,0,0.2181,1.224,12424.83,1
Instagram,2782642,229,7876,4763,1,292,0,0.0306,1.654,12098.44,0
Instagram,2235050,4284,6099,2344,1,20,0,0.2269,2.602,521.6,0
Instagram,4322302,1664,607,2165,1,160,0,0.034,0.28,2595.98,0
Instagram,402740,4538,6169,1679,0,155,0,0.2744,3.674,88.73,1
Instagram,4693400,274,7790,3249,1,142,0,0.0836,2.398,17066.91,0
Instagram,2548471,963,5573,3830,0,256,0,0.1731,1.455,2643.64,1
Instagram,4216313,4534,634,2508,1,106,0,0.036,0.253,929.73,0
Instagram,3806668,3743,1074,4097,1,283,1,0.0816,0.262,1016.74,0
Instagram,1954159,2784,1914,1805,1,49,0,0.1218,1.06,701.67,0
Instagram,4422930,3134,588,1996,0,34,0,0.1466,0.295,1410.82,1
Instagram,3112804,489,3231,1797,0,223,0,0.001,1.798,6352.66,1
Instagram,1384300,3524,6351,3845,1,155,0,0.2667,1.652,392.71,0
Instagram,4025767,1363,3838,271,1,190,0,0.0033,14.162,2951.44,1
Instagram,61137,3332,1973,4827,1,183,0,0.2323,0.409,18.34,0
Instagram,1496226,3888,5044,2979,1,236,0,0.1417,1.693,384.73,0
Instagram,1886063,899,6103,4866,0,296,0,0.1576,1.254,2095.63,1
Instagram,4634146,3864,6683,4906,1,57,0,0.0633,1.362,1199,0
Instagram,39403,934,5837,2286,1,38,0,0.1826,2.553,42.14,0
Instagram,3360061,2180,9443,4141,1,240,0,0.1616,2.28,1540.61,0
Instagram,4259672,1912,6783,3398,1,24,0,0.0501,1.996,2226.7,0
Instagram,4959667,4883,5594,396,1,116,0,0.0722,14.126,1015.49,0
Instagram,416930,2405,3822,2857,1,239,0,0.021,1.338,173.29,0
Instagram,4965100,38,3389,1282,1,174,0,0.0208,2.644,127310.26,0
Instagram,813218,44,5914,2517,1,227,0,0.0051,2.35,18071.51,1
Instagram,225331,3599,1780,4815,1,252,0,0.0669,0.37,62.59,0
Instagram,3117747,2680,3688,3633,1,110,0,0.2042,1.015,1162.9,0
Instagram,3782925,3375,9916,3551,1,240,0,0.0955,2.792,1120.53,0
Instagram,2995815,598,7211,4972,1,223,0,0.1035,1.45,5001.36,0
Instagram,269586,3228,5037,4547,1,297,1,0.0404,1.108,83.49,0
Instagram,4372143,3148,6319,1673,0,51,0,0.1731,3.777,1388.42,1
Instagram,1561779,913,9869,1242,1,220,0,0.1033,7.946,1708.73,0
Instagram,2222859,4096,8640,4733,1,287,1,0.2032,1.825,542.56,0
Instagram,681719,2179,81,49,0,151,0,0.2227,1.653,312.72,1
Instagram,3864872,349,6278,705,1,117,0,0.1758,8.905,11042.49,0
Instagram,1119093,4280,6999,4507,1,278,0,0.0835,1.553,261.41,0
Instagram,3329512,1724,1406,638,1,134,0,0.1531,2.204,1930.15,0
Instagram,2206953,4702,7410,91,1,208,0,0.0763,81.429,469.26,0
Instagram,1741143,4556,1480,1295,1,126,0,0.271,1.143,382.08,0
Instagram,2558281,566,9271,2315,1,292,0,0.2301,4.005,4511.96,0
Instagram,4300435,3097,3598,1184,1,6,0,0.1484,3.039,1388.13,0
Instagram,3080439,3276,7993,1658,1,221,0,0.2897,4.821,940.02,0
Instagram,1661959,3577,4183,1656,1,76,0,0.1645,2.526,464.49,0
Instagram,2656188,2066,3680,3746,1,277,0,0.0992,0.982,1285.04,0
Instagram,110128,3909,7644,1472,1,226,0,0.0295,5.193,28.17,0
Instagram,1915681,1026,4310,1683,1,274,0,0.1636,2.561,1865.32,0
Instagram,1404154,2072,1758,2532,1,294,0,0.2583,0.694,677.35,0
Instagram,2008237,848,2599,3299,1,116,0,0.2601,0.788,2365.41,0
Instagram,1659116,1647,5616,311,0,291,0,0.1818,18.058,1006.75,1
Instagram,4173175,4331,5813,1054,0,270,0,0.1186,5.515,963.34,1
Instagram,2148865,3506,3853,4848,1,156,1,0.1954,0.795,612.74,0
Instagram,4024116,1823,2292,3433,1,59,0,0.2289,0.668,2206.2,0
Instagram,4506309,3489,1501,1265,1,183,0,0.1241,1.187,1291.21,0
Instagram,4135364,1461,8422,4212,1,143,0,0.1434,2,2828.57,0
Instagram,910731,2323,7550,4790,1,160,0,0.2045,1.576,391.88,0
Instagram,1607668,1524,4250,4987,1,88,0,0.2631,0.852,1054.21,0
Instagram,3896880,1241,9390,815,1,15,0,0.2375,11.521,3137.58,0
Instagram,4336837,1655,6991,3347,1,248,0,0.0077,2.089,2618.86,1
Instagram,2755473,3009,114,1697,1,97,0,0.0382,0.067,915.44,0
Instagram,2033400,3450,9605,3038,1,103,0,0.256,3.162,589.22,0
Instagram,2312037,4066,4406,3224,1,299,0,0.2503,1.367,568.49,0
Instagram,4596250,315,9184,4819,1,234,0,0.1173,1.906,14545.09,0
Instagram,4671449,3546,2347,3805,1,273,0,0.1757,0.617,1317.01,0
Instagram,71345,1733,1041,2476,1,260,0,0.2718,0.42,41.14,0
Instagram,744024,1699,6927,3820,1,238,0,0.2736,1.813,437.66,0
Instagram,3445426,1527,11,563,1,261,0,0.2351,0.02,2254.86,0
Instagram,3612650,3927,7980,431,1,114,0,0.0637,18.515,919.72,0
Instagram,825866,429,7871,3693,1,267,0,0.2194,2.131,1920.62,0
Instagram,374755,2946,6375,159,1,11,0,0.0312,40.094,127.16,0
Instagram,3717320,3872,7098,2369,1,72,0,0.2683,2.996,959.8,0
Instagram,1856976,4239,3676,4401,1,177,0,0.0456,0.835,437.97,0
Instagram,1658895,1460,6109,2989,1,259,0,0.199,2.044,1135.45,0
Instagram,2026843,3106,5397,1888,1,258,0,0.1835,2.859,652.35,0
Instagram,554644,3271,3065,3003,1,269,0,0.2333,1.021,169.51,0
Instagram,147768,1174,2036,4180,0,119,1,0.1659,0.487,125.76,1
Instagram,4839617,1879,3046,3679,1,168,0,0.0188,0.828,2574.26,0
Instagram,3504523,1829,540,2816,1,67,0,0.212,0.192,1915.04,0
Instagram,2204714,2715,76,3127,1,58,0,0.1156,0.024,811.75,0
Instagram,4341797,3525,3067,3542,1,129,1,0.0968,0.866,1231.37,0
Instagram,1519213,1352,23,4890,1,265,0,0.2975,0.005,1122.85,0
Instagram,4567970,2236,5134,1250,1,74,0,0.1775,4.107,2042.01,0
Instagram,687026,1089,675,671,0,89,0,0.2135,1.006,630.3,1
Instagram,2472239,4216,6668,3344,1,153,0,0.1584,1.994,586.26,0
Instagram,3141309,4573,4267,753,1,217,0,0.2312,5.667,686.78,0
Instagram,117846,2789,5988,4927,1,27,0,0.2259,1.215,42.24,0
Instagram,1241132,2538,7652,767,0,129,0,0.1975,9.977,488.83,1
Instagram,4892730,823,8680,4883,1,65,0,0.2993,1.778,5937.78,0
Instagram,4892356,2041,1485,1329,1,143,0,0.1385,1.117,2395.86,0
Instagram,4114689,332,3659,3510,1,276,0,0.2122,1.042,12356.42,0
Instagram,2688180,2979,2419,369,1,102,1,0.2395,6.556,902.07,0
Instagram,3674565,913,7740,182,1,36,0,0.1134,42.527,4020.31,0
Instagram,1579209,1551,7143,1451,1,248,0,0.1377,4.923,1017.53,0
Instagram,907367,3513,3495,3081,1,155,0,0.2908,1.134,258.21,0
Instagram,2485417,2663,756,456,1,131,0,0.0107,1.658,932.96,0
Instagram,4515538,2486,8448,3588,1,46,0,0.1013,2.355,1815.66,0
Instagram,668284,3350,1779,1165,1,194,0,0.1464,1.527,199.43,0
Instagram,378530,4253,6487,2402,1,102,0,0.0014,2.701,88.98,1
Instagram,792021,1151,9664,3359,1,170,0,0.2698,2.877,687.52,0
Instagram,501207,859,258,979,1,88,0,0.0866,0.264,582.8,0
Instagram,4378777,376,4075,1403,1,245,0,0.0781,2.904,11614.79,0
Instagram,4124549,2907,8498,986,1,57,0,0.2463,8.619,1418.35,0
Instagram,2613551,1099,8014,1731,1,104,0,0.0841,4.63,2375.96,0
Instagram,2921994,4051,1118,2971,1,179,1,0.1976,0.376,721.12,0
Instagram,4327626,2048,7631,2512,1,68,0,0.2466,3.038,2112.07,0
Instagram,4962190,2870,3017,1333,1,152,0,0.238,2.263,1728.38,0
Instagram,3083203,4280,4341,400,1,24,0,0.2348,10.852,720.21,0
Instagram,2799537,1864,1658,3010,1,34,0,0.0275,0.551,1501.09,0
Instagram,2904991,4693,8378,2326,1,14,0,0.0249,3.602,618.87,0
Instagram,2100071,504,1797,4828,0,105,0,0.0927,0.372,4158.56,1
Instagram,4975828,3192,9116,2155,1,217,0,0.0117,4.23,1558.36,0
Instagram,1360878,1794,784,2996,1,73,0,0.1506,0.262,758.15,0
Instagram,618517,3520,5691,4175,1,284,0,0.119,1.363,175.67,0
Instagram,2135669,3796,3196,2772,1,37,0,0.1676,1.153,562.46,0
Instagram,3955538,4140,9552,4051,1,196,0,0.0903,2.358,955.21,0
Instagram,4674401,1008,8532,2394,1,279,0,0.1462,3.564,4632.71,0
Instagram,1707973,4479,562,792,1,274,0,0.1011,0.71,381.24,0
Instagram,128441,1461,4746,4092,1,173,0,0.0594,1.16,87.85,0
Instagram,1017076,1761,2999,1034,1,43,0,0.1952,2.9,577.23,0
Instagram,4301804,2290,1193,3785,1,153,0,0.2024,0.315,1877.7,0
Instagram,2269092,4810,68,2876,1,152,0,0.2489,0.024,471.65,0
Instagram,1983559,4668,5679,379,1,290,0,0.2626,14.984,424.84,0
Instagram,116431,2944,2428,2994,1,141,0,0.2116,0.811,39.54,0
Instagram,1521751,3744,6200,716,1,255,0,0.2066,8.659,406.34,0
Instagram,1620247,3356,5396,4667,1,133,0,0.0179,1.156,482.65,0
Instagram,2231710,1883,6993,3156,1,31,0,0.0338,2.216,1184.56,0
Instagram,1778276,4544,3598,4486,1,25,0,0.244,0.802,391.26,0
Instagram,1199436,3813,9035,2785,1,254,0,0.0707,3.244,314.48,0
Instagram,3438668,1989,573,3554,1,222,0,0.1073,0.161,1727.97,0
Instagram,2014534,708,4214,3654,1,55,0,0.0444,1.153,2841.37,0
Instagram,2937679,1322,7636,2762,1,292,0,0.0594,2.765,2220.47,0
Instagram,2457234,2972,1478,1723,1,124,0,0.2328,0.858,826.52,0
Instagram,3144013,2948,9705,2922,1,229,0,0.0793,3.321,1066.13,0
Instagram,4103072,4797,6127,3841,0,52,0,0.1353,1.595,855.16,1
Instagram,1418225,2310,9160,4210,1,100,0,0.0463,2.176,613.68,0
Instagram,3806738,3207,6676,714,1,291,0,0.2037,9.35,1186.64,0
Instagram,4924257,136,2196,4370,1,266,1,0.2188,0.503,35943.48,0
Instagram,3773012,1201,9703,2949,1,282,0,0.1091,3.29,3138.95,0
Instagram,4191473,2649,8166,3786,1,1,0,0.2356,2.157,1581.69,0
Instagram,4041826,4399,8846,3313,1,21,0,0.0727,2.67,918.6,0
Instagram,2727473,3926,6050,4721,1,65,0,0.2079,1.282,694.54,0
Instagram,1760477,1376,4650,4056,0,211,0,0.2193,1.146,1278.49,1
Instagram,4318477,1029,8484,1186,1,235,0,0.2906,7.153,4192.7,0
Instagram,3451406,4089,4526,3091,1,16,0,0.0705,1.464,843.86,0
Instagram,1131615,4524,4412,4475,1,13,1,0.029,0.986,250.08,0
Instagram,3444134,4549,5443,2359,1,6,1,0.0796,2.307,756.95,0
Instagram,2927159,694,9780,1322,0,221,0,0.0377,7.398,4211.74,1
Instagram,4372628,3639,8787,1914,1,103,0,0.0517,4.591,1201.27,0
Instagram,2509129,2897,2593,1590,1,0,0,0.1009,1.631,865.81,0
Instagram,2887054,1472,9107,1013,1,286,1,0.1248,8.99,1959.98,0
Instagram,1931810,4096,6852,2097,1,246,0,0.2712,3.268,471.52,0
Instagram,131423,2271,6629,1893,1,90,0,0.0595,3.502,57.84,0
Instagram,115344,4190,3869,2009,1,213,0,0.2916,1.926,27.52,0
Instagram,3132564,2851,7971,1766,1,42,0,0.2432,4.514,1098.37,0
Instagram,4842661,1777,9167,2482,1,73,0,0.2646,3.693,2723.66,0
Instagram,4335918,4190,9267,1948,1,241,0,0.2789,4.757,1034.58,0
Instagram,1426438,3570,7822,730,1,48,0,0.2262,10.715,399.45,0
Instagram,3851474,2122,2989,4076,1,221,1,0.2368,0.733,1814.17,0
Instagram,2215217,4768,7062,2103,1,143,0,0.1319,3.358,464.5,0
Instagram,3886452,636,5340,4691,1,208,0,0.1536,1.138,6101.18,0
Instagram,689994,4169,9643,3783,1,98,0,0.2798,2.549,165.47,0
Instagram,688155,3424,3823,424,1,187,0,0.1141,9.017,200.92,0
Instagram,2610960,1385,3932,1986,1,113,0,0.0135,1.98,1883.81,0
Instagram,1989223,1191,8554,3078,1,174,0,0.2291,2.779,1668.81,0
Instagram,3080811,500,2429,3482,1,270,0,0.1724,0.698,6149.32,0
Instagram,1414516,3739,7444,552,1,62,0,0.2446,13.486,378.21,0
Instagram,445151,3544,7147,1592,1,283,0,0.0236,4.489,125.57,0
Instagram,1105584,3306,7631,2939,1,224,0,0.1867,2.596,334.32,0
Instagram,3227852,1950,3598,2879,1,160,0,0.0751,1.25,1654.46,0
Instagram,1583643,4418,4329,579,1,35,0,0.2711,7.477,358.37,0
Instagram,1803699,1892,6718,1498,1,140,0,0.0339,4.485,952.83,0
Instagram,1224715,4918,9923,862,1,195,0,0.2531,11.512,248.98,0
Instagram,2294594,2997,8218,4512,1,150,0,0.0275,1.821,765.37,0
Instagram,4353177,3169,92,1451,1,268,0,0.0085,0.063,1373.24,1
Instagram,498913,4785,8500,315,1,39,0,0.0713,26.984,104.24,0
Instagram,367704,4540,51,2775,1,237,0,0.1006,0.018,80.97,0
Instagram,2676238,691,318,3795,1,221,0,0.1883,0.084,3867.4,0
Instagram,3296040,1083,5688,4494,1,280,0,0.0404,1.266,3040.63,0
Instagram,1492835,2397,7018,1475,1,224,0,0.1318,4.758,622.53,0
Instagram,797129,2404,7210,1496,1,153,0,0.0621,4.82,331.45,0
Instagram,4858430,2703,3956,1806,1,279,0,0.2567,2.19,1796.76,0
Instagram,4042837,1380,6057,3685,1,38,0,0.0144,1.644,2927.47,0
Instagram,3928133,4754,6875,944,1,216,0,0.1074,7.283,826.11,0
Instagram,2699065,4350,4431,317,1,243,0,0.1898,13.978,620.33,0
Instagram,3414577,2166,1525,4220,1,108,0,0.274,0.361,1575.72,0
Instagram,1286175,2590,7043,2118,1,60,0,0.2605,3.325,496.4,0
Instagram,3740097,4401,1278,4456,1,197,0,0.2687,0.287,849.64,0
Instagram,449032,2169,8705,1834,1,275,0,0.0198,4.746,206.93,0
Instagram,1172672,3258,6125,1208,1,171,0,0.2524,5.07,359.83,0
Instagram,2503821,3741,7874,2581,1,271,0,0.2342,3.051,669.11,0
Instagram,3177875,3839,9925,4400,1,270,0,0.2708,2.256,827.57,0
Instagram,996211,1637,6900,1618,1,41,0,0.0942,4.265,608.19,0
Instagram,4183889,3482,2500,1986,0,188,0,0.2736,1.259,1201.23,1
Instagram,666376,37,3464,1805,0,259,0,0.1214,1.919,17536.21,1
Instagram,649200,1995,2259,4892,1,151,0,0.1906,0.462,325.25,0
Instagram,3376007,4163,7496,1017,1,130,0,0.1278,7.371,810.76,0
Instagram,118884,1531,2659,1233,0,113,0,0.1289,2.157,77.6,1
Instagram,3239626,306,255,3360,1,221,0,0.1644,0.076,10552.53,0
Instagram,3198699,2191,1502,1149,1,53,0,0.1074,1.307,1459.26,0
Instagram,4479175,3412,4656,226,1,295,0,0.238,20.602,1312.39,0
Instagram,4249963,2306,5430,4005,1,41,0,0.1905,1.356,1842.2,0
Instagram,4422251,2607,8598,555,1,92,0,0.2072,15.492,1695.65,0
Instagram,1079650,911,3176,4757,1,259,0,0.0701,0.668,1183.83,0
Instagram,1025765,1108,1860,1440,1,280,0,0.2909,1.292,924.95,0
Instagram,1438583,1687,6158,4533,1,191,0,0.1984,1.358,852.24,0
